PassengerId,Survived
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,1
169,1
170,1
171,0
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,1
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,1
198,0
199,1
200,1
201,1
202,0
203,1
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,0
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,0
349,1
350,1
351,0
352,0
353,0
354,1
355,0
356,1
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,1
417,1
